professor_id,first_name,last_name,email,department,hired_at
PRF-00059,Emilia,Saavedra,emilia.saavedra1502@synthetic.dev,biology,2024-04-09
PRF-00060,Luis,Hernandez,luis.hernandez7535@lake.local,physics,2015-02-16
PRF-00061,Matias,Romero,matias.romero2273@example.com,history,2024-10-15
PRF-00062,Alejandro,Valenzuela,alejandro.valenzuela7228@synthetic.dev,economics,2011-01-06
PRF-00063,Amanda,Henriquez,amanda.henriquez8934@synthetic.dev,economics,2013-09-07
PRF-00064,Manuel,Morales,manuel.morales8066@mail.test,literature,2024-01-26
PRF-00065,Luis,Reyes,luis.reyes7634@demo.io,math,2005-10-07
PRF-00066,Lucia,Arancibia,lucia.arancibia1812@example.com,physics,2024-03-02
PRF-00067,Renata,Castillo,renata.castillo9834@mail.test,economics,2014-10-14
PRF-00068,Daniela,Pino,daniela.pino9877@example.com,math,2015-06-07
PRF-00069,Benjamin,Vargas,benjamin.vargas9680@example.com,cs,2005-10-05
PRF-00070,Rodrigo,Vargas,rodrigo.vargas1820@demo.io,math,2006-01-09
PRF-00071,Matias,Carvajal,matias.carvajal5181@lake.local,history,2011-01-04
PRF-00072,Agustina,Gomez,agustina.gomez1427@example.com,biology,2019-03-01
PRF-00073,Daniel,Araya,daniel.araya1651@example.com,cs,2015-11-24
PRF-00074,Carlos,Hernandez,carlos.hernandez9217@mail.test,literature,2010-08-06
PRF-00075,Martina,Diaz,martina.diaz1739@synthetic.dev,literature,2023-06-15
PRF-00076,Gabriel,Lopez,gabriel.lopez3252@lake.local,cs,2015-08-07
PRF-00077,Catalina,Munoz,catalina.munoz8727@example.com,biology,2024-06-04
PRF-00078,Juan,Vargas,juan.vargas5608@lake.local,cs,2014-03-20
PRF-00079,Isabel,Pino,isabel.pino6751@synthetic.dev,physics,2010-05-10
PRF-00080,Maria,Espinoza,maria.espinoza439@lake.local,cs,2016-04-05
PRF-00081,Renata,Rojas,renata.rojas9107@synthetic.dev,economics,2011-01-05
PRF-00082,Valentina,Fuentes,valentina.fuentes1892@example.com,history,2022-10-27
PRF-00083,Matias,Vega,matias.vega2582@mail.test,chemistry,2017-08-25
PRF-00084,Vicente,Contreras,vicente.contreras4688@mail.test,physics,2015-02-16
PRF-00085,Renata,Carvajal,renata.carvajal2046@example.com,economics,2012-07-04
PRF-00086,Valentina,Arancibia,valentina.arancibia4672@synthetic.dev,physics,2024-05-15
PRF-00087,Paula,Tapia,paula.tapia8402@example.com,cs,2006-08-18
PRF-00088,Romina,Valenzuela,romina.valenzuela9712@lake.local,chemistry,2019-04-25
PRF-00089,Rodrigo,Castillo,rodrigo.castillo4632@mail.test,cs,2014-12-19
PRF-00090,Martina,Diaz,martina.diaz7914@demo.io,history,2006-11-23
PRF-00091,Ana,Pino,ana.pino6263@lake.local,biology,2022-06-21
PRF-00092,Isabel,Cortes,isabel.cortes337@demo.io,literature,2017-06-03
PRF-00093,Magdalena,Morales,magdalena.morales8976@synthetic.dev,physics,2015-04-04
PRF-00094,Nicolas,Cordero,nicolas.cordero9392@lake.local,math,2021-08-03
PRF-00095,Alejandro,Bravo,alejandro.bravo5206@mail.test,cs,2020-02-15
PRF-00096,Romina,Morales,romina.morales4221@demo.io,cs,2024-07-19
PRF-00097,Fernanda,Vasquez,fernanda.vasquez2163@demo.io,history,2014-06-11
PRF-00098,Tomas,Carrasco,tomas.carrasco1074@lake.local,cs,2016-06-18
PRF-00099,Sebastian,Gomez,sebastian.gomez1097@demo.io,physics,2020-01-04
PRF-00100,Emilia,Perez,emilia.perez1105@example.com,economics,2017-03-29
PRF-00101,Valentina,Fuentes,valentina.fuentes4196@demo.io,physics,2005-10-26
PRF-00102,Josefa,Castro,josefa.castro6912@example.com,chemistry,2013-03-24
PRF-00103,Pablo,Lopez,pablo.lopez9135@example.com,economics,2013-10-31
PRF-00104,Manuel,Salazar,manuel.salazar9471@mail.test,math,2020-11-26
PRF-00105,Fernanda,Contreras,fernanda.contreras9661@example.com,biology,2018-06-08
PRF-00106,Paula,Cordero,paula.cordero2495@mail.test,cs,2020-02-23
PRF-00107,Jose,Toro,jose.toro8984@mail.test,biology,2011-10-09
PRF-00108,Javier,Carvajal,javier.carvajal1293@mail.test,math,2017-10-21
PRF-00109,Daniela,Salazar,daniela.salazar3127@synthetic.dev,cs,2011-07-03
PRF-00110,Vicente,Vega,vicente.vega7807@example.com,history,2017-11-04
PRF-00111,Gabriel,Pino,gabriel.pino627@lake.local,economics,2007-12-01
PRF-00112,Manuel,Arancibia,manuel.arancibia6636@mail.test,chemistry,2019-07-11
PRF-00113,Benjamin,Henriquez,benjamin.henriquez7745@mail.test,math,2006-05-10
PRF-00114,Javier,Castillo,javier.castillo6377@synthetic.dev,economics,2018-05-28
PRF-00115,Amanda,Pino,amanda.pino4693@mail.test,history,2012-06-13
PRF-00116,Isabel,Pino,isabel.pino4705@example.com,cs,2011-01-22
PRF-00117,Tomas,Perez,tomas.perez3961@example.com,math,2008-04-09
PRF-00118,Maria,Cortes,maria.cortes7508@example.com,chemistry,2008-09-20
PRF-00119,Sofia,Silva,sofia.silva2915@demo.io,economics,2009-03-04
PRF-00120,Antonia,Martinez,antonia.martinez9266@demo.io,biology,2009-06-06
PRF-00121,Juan,Diaz,juan.diaz1924@synthetic.dev,cs,2013-09-18
PRF-00122,Cristobal,Cordero,cristobal.cordero1612@example.com,economics,2019-08-19
PRF-00123,Carlos,Bravo,carlos.bravo9334@demo.io,cs,2016-02-01
PRF-00124,Sebastian,Pino,sebastian.pino4928@synthetic.dev,literature,2015-08-01
PRF-00125,Ana,Sepulveda,ana.sepulveda7883@lake.local,history,2016-06-13
PRF-00126,Carlos,Romero,carlos.romero8956@example.com,biology,2005-03-10
PRF-00127,Benjamin,Munoz,benjamin.munoz1970@mail.test,cs,2022-05-07
PRF-00128,Alejandro,Rodriguez,alejandro.rodriguez8891@synthetic.dev,history,2012-04-30
PRF-00129,Romina,Henriquez,romina.henriquez8683@example.com,cs,2011-03-06
PRF-00130,Diego,Munoz,diego.munoz3194@lake.local,cs,2024-04-20
PRF-00131,Emilia,Salazar,emilia.salazar7026@demo.io,math,2021-11-02
PRF-00132,Sebastian,Rodriguez,sebastian.rodriguez4463@synthetic.dev,cs,2010-02-01
PRF-00133,Maximiliano,Reyes,maximiliano.reyes2121@lake.local,cs,2021-04-15
PRF-00134,Emilia,Silva,emilia.silva9619@demo.io,literature,2017-07-24
PRF-00135,Luis,Rojas,luis.rojas793@synthetic.dev,biology,2018-07-10
PRF-00136,Felipe,Reyes,felipe.reyes1667@synthetic.dev,biology,2008-05-09
PRF-00137,Sofia,Toro,sofia.toro9149@lake.local,chemistry,2007-09-14
PRF-00138,Alejandro,Araya,alejandro.araya2278@lake.local,chemistry,2019-04-11
PRF-00139,Pedro,Morales,pedro.morales4619@example.com,literature,2018-01-13
PRF-00140,Amanda,Morales,amanda.morales9880@lake.local,economics,2013-10-07
PRF-00141,Trinidad,Arancibia,trinidad.arancibia2207@lake.local,physics,2005-12-14
PRF-00142,Renata,Carrasco,renata.carrasco865@lake.local,cs,2005-10-03
PRF-00143,Valentina,Sandoval,valentina.sandoval5831@demo.io,cs,2012-05-30
PRF-00144,Valentina,Alvarez,valentina.alvarez5794@demo.io,literature,2017-07-30
PRF-00145,Daniela,Contreras,daniela.contreras8466@lake.local,cs,2011-09-14
PRF-00146,Javier,Perez,javier.perez4441@demo.io,biology,2023-01-06
PRF-00147,Tomas,Bravo,tomas.bravo6034@demo.io,literature,2007-04-29
PRF-00148,Cristobal,Araya,cristobal.araya687@lake.local,history,2012-11-07
PRF-00149,Catalina,Vasquez,catalina.vasquez6304@mail.test,math,2024-03-27
PRF-00150,Maria,Valenzuela,maria.valenzuela3654@example.com,economics,2009-05-26
PRF-00151,Magdalena,Valenzuela,magdalena.valenzuela9850@lake.local,economics,2014-03-27
PRF-00152,Eduardo,Pino,eduardo.pino6399@lake.local,biology,2012-04-13
PRF-00153,Daniela,Vasquez,daniela.vasquez9446@demo.io,history,2023-09-26
PRF-00154,Juan,Alvarez,juan.alvarez4698@mail.test,math,2017-01-31
PRF-00155,Isabel,Carvajal,isabel.carvajal4015@demo.io,economics,2021-03-12
PRF-00156,Maximiliano,Tapia,maximiliano.tapia5843@mail.test,physics,2023-08-25
PRF-00157,Daniel,Silva,daniel.silva7578@mail.test,math,2024-12-02
PRF-00158,Martina,Rodriguez,martina.rodriguez9410@lake.local,economics,2009-08-17
PRF-00159,Sofia,Morales,sofia.morales1275@demo.io,cs,2007-03-11
PRF-00160,Eduardo,Ortiz,eduardo.ortiz6072@lake.local,cs,2016-06-21
PRF-00161,Josefa,Tapia,josefa.tapia936@demo.io,math,2016-09-07
PRF-00162,Sofia,Valenzuela,sofia.valenzuela380@example.com,math,2007-05-15
PRF-00163,Constanza,Pizarro,constanza.pizarro8899@synthetic.dev,cs,2016-08-19
PRF-00164,Matias,Toro,matias.toro9051@example.com,cs,2006-03-06
PRF-00165,Alejandro,Arancibia,alejandro.arancibia9250@demo.io,economics,2007-11-02
PRF-00166,Ana,Diaz,ana.diaz4784@lake.local,math,2008-03-17
PRF-00167,Rodrigo,Cortes,rodrigo.cortes7690@lake.local,physics,2011-07-17
PRF-00168,Ignacio,Romero,ignacio.romero958@example.com,cs,2008-05-15
PRF-00169,Pablo,Pereira,pablo.pereira2568@synthetic.dev,math,2009-10-29
PRF-00170,Emilia,Araya,emilia.araya8063@lake.local,literature,2016-10-18
PRF-00171,Gabriel,Sepulveda,gabriel.sepulveda4214@lake.local,literature,2016-12-29
PRF-00172,Fernanda,Salazar,fernanda.salazar9366@example.com,economics,2020-11-17
PRF-00173,Matias,Romero,matias.romero387@example.com,cs,2006-02-15
PRF-00174,Juan,Martinez,juan.martinez6143@demo.io,cs,2009-12-15
PRF-00175,Luis,Lopez,luis.lopez7712@demo.io,math,2017-10-19
PRF-00176,Constanza,Romero,constanza.romero7476@mail.test,cs,2008-04-07
PRF-00177,Valentina,Cortes,valentina.cortes7553@mail.test,cs,2024-12-27
PRF-00178,Fernanda,Riquelme,fernanda.riquelme3202@demo.io,chemistry,2006-02-12
PRF-00179,Benjamin,Pino,benjamin.pino7110@example.com,cs,2015-05-17
PRF-00180,Florencia,Espinoza,florencia.espinoza7332@demo.io,math,2020-08-06
PRF-00181,Daniel,Martinez,daniel.martinez7049@demo.io,cs,2018-09-01
PRF-00182,Trinidad,Sepulveda,trinidad.sepulveda4641@mail.test,economics,2022-09-05
PRF-00183,Pablo,Pino,pablo.pino563@example.com,physics,2022-09-06
PRF-00184,Macarena,Valenzuela,macarena.valenzuela5049@mail.test,cs,2010-01-08
PRF-00185,Magdalena,Pizarro,magdalena.pizarro6889@example.com,cs,2007-07-26
PRF-00186,Josefa,Romero,josefa.romero9671@lake.local,math,2020-07-05
PRF-00187,Pablo,Riquelme,pablo.riquelme8772@example.com,cs,2007-02-06
PRF-00188,Constanza,Riquelme,constanza.riquelme6611@synthetic.dev,cs,2015-12-12
PRF-00189,Gabriel,Pizarro,gabriel.pizarro5145@lake.local,biology,2013-05-17
PRF-00190,Martina,Araya,martina.araya2912@lake.local,literature,2015-01-21
PRF-00191,Macarena,Soto,macarena.soto1036@demo.io,economics,2020-09-01
PRF-00192,Luis,Diaz,luis.diaz9958@synthetic.dev,history,2016-10-28
PRF-00193,Carlos,Pereira,carlos.pereira7792@synthetic.dev,physics,2013-08-06
PRF-00194,Felipe,Pereira,felipe.pereira3573@example.com,history,2024-01-03
PRF-00195,Amanda,Carrasco,amanda.carrasco7713@lake.local,chemistry,2020-03-24
PRF-00196,Catalina,Araya,catalina.araya478@mail.test,math,2014-03-23
PRF-00197,Catalina,Vera,catalina.vera5501@mail.test,history,2007-11-02
PRF-00198,Carmen,Ortiz,carmen.ortiz8734@example.com,chemistry,2013-09-11
PRF-00199,Luis,Vera,luis.vera7636@lake.local,economics,2016-11-18
PRF-00200,Manuel,Tapia,manuel.tapia2545@synthetic.dev,literature,2022-01-09
