lead_id,first_name,last_name,email,source,status,score,created_at
LED-0000084,Juan,Fuentes,juan.fuentes8539@mail.test,ads,new,55,2025-08-13 18:09:24
LED-0000085,Daniel,Gonzalez,daniel.gonzalez7365@example.com,web,new,14,2022-09-27 02:27:35
LED-0000086,Daniel,Morales,daniel.morales6521@demo.io,web,new,23,2022-03-26 01:05:20
LED-0000087,Vicente,Vasquez,vicente.vasquez9048@synthetic.dev,web,converted,50,2025-08-06 04:41:57
LED-0000088,Trinidad,Silva,trinidad.silva5318@mail.test,web,contacted,81,2024-11-17 15:56:46
LED-0000089,Luis,Rojas,luis.rojas9632@example.com,web,qualified,58,2024-05-27 02:29:57
LED-0000090,Daniel,Gonzalez,daniel.gonzalez7441@lake.local,cold_call,qualified,26,2024-11-15 04:26:57
LED-0000091,Carlos,Ortiz,carlos.ortiz7219@mail.test,web,new,87,2022-10-12 07:06:44
LED-0000092,Vicente,Sandoval,vicente.sandoval6980@synthetic.dev,event,converted,62,2022-09-08 05:45:13
LED-0000093,Javier,Cordero,javier.cordero1660@lake.local,web,new,11,2023-04-12 16:29:22
LED-0000094,Benjamin,Cordero,benjamin.cordero7434@demo.io,event,new,30,2022-10-30 23:56:05
LED-0000095,Macarena,Vasquez,macarena.vasquez8321@synthetic.dev,web,new,48,2022-09-11 19:46:50
LED-0000096,Fernanda,Diaz,fernanda.diaz4523@demo.io,ads,qualified,2,2023-12-26 13:27:50
LED-0000097,Nicolas,Rojas,nicolas.rojas2827@lake.local,web,contacted,3,2023-02-17 17:30:12
LED-0000098,Manuel,Diaz,manuel.diaz5392@demo.io,referral,contacted,9,2024-03-03 01:14:12
LED-0000099,Martina,Flores,martina.flores1873@lake.local,referral,contacted,6,2025-03-09 06:42:34
LED-0000100,Vicente,Riquelme,vicente.riquelme6251@synthetic.dev,web,qualified,85,2024-10-15 11:35:09
LED-0000101,Nicolas,Flores,nicolas.flores8193@mail.test,ads,converted,22,2022-01-27 04:10:57
LED-0000102,Ana,Gutierrez,ana.gutierrez388@synthetic.dev,event,qualified,80,2025-12-25 00:54:24
LED-0000103,Cristobal,Bravo,cristobal.bravo6462@synthetic.dev,referral,converted,71,2025-11-24 13:06:38
LED-0000104,Rodrigo,Bravo,rodrigo.bravo7387@demo.io,web,contacted,27,2022-06-14 19:37:13
LED-0000105,Javier,Salazar,javier.salazar2247@synthetic.dev,web,lost,31,2022-11-27 09:38:05
LED-0000106,Magdalena,Gutierrez,magdalena.gutierrez4750@example.com,event,contacted,22,2023-07-09 14:15:08
LED-0000107,Cristobal,Diaz,cristobal.diaz2007@lake.local,web,new,86,2024-08-28 19:04:26
LED-0000108,Manuel,Perez,manuel.perez7286@mail.test,event,new,57,2022-07-15 20:50:15
LED-0000109,Fernanda,Lopez,fernanda.lopez3309@synthetic.dev,event,new,87,2024-05-13 15:57:49
LED-0000110,Agustina,Alvarez,agustina.alvarez622@demo.io,referral,contacted,91,2024-08-28 17:36:17
LED-0000111,Ignacio,Sandoval,ignacio.sandoval9036@demo.io,ads,lost,54,2024-09-25 11:46:57
LED-0000112,Benjamin,Ortiz,benjamin.ortiz22@lake.local,ads,converted,61,2024-09-21 15:49:50
LED-0000113,Daniel,Lopez,daniel.lopez7767@lake.local,cold_call,qualified,41,2025-07-31 16:54:10
LED-0000114,Pedro,Cordero,pedro.cordero6628@demo.io,referral,qualified,83,2022-01-21 10:30:48
LED-0000115,Carlos,Vasquez,carlos.vasquez5232@synthetic.dev,web,lost,70,2023-06-13 14:08:07
LED-0000116,Benjamin,Romero,benjamin.romero9140@example.com,web,qualified,30,2023-03-30 16:23:53
LED-0000117,Daniel,Rivera,daniel.rivera3395@mail.test,web,qualified,96,2022-08-03 17:03:27
LED-0000118,Benjamin,Araya,benjamin.araya2789@example.com,web,contacted,12,2024-12-31 22:19:46
LED-0000119,Agustina,Silva,agustina.silva9734@lake.local,web,new,52,2022-05-10 18:52:32
LED-0000120,Amanda,Arancibia,amanda.arancibia8787@lake.local,web,new,28,2024-09-22 00:14:36
LED-0000121,Carlos,Munoz,carlos.munoz7209@synthetic.dev,referral,contacted,99,2023-11-19 11:17:58
LED-0000122,Florencia,Flores,florencia.flores7263@example.com,ads,new,55,2024-10-07 20:49:18
LED-0000123,Nicolas,Saavedra,nicolas.saavedra1184@example.com,cold_call,lost,6,2022-11-23 14:59:06
LED-0000124,Lucia,Castro,lucia.castro9266@synthetic.dev,referral,new,10,2023-01-06 19:55:07
LED-0000125,Tomas,Gomez,tomas.gomez4371@demo.io,referral,qualified,6,2023-01-12 14:42:57
LED-0000126,Eduardo,Sandoval,eduardo.sandoval1839@example.com,referral,qualified,51,2024-12-18 14:51:56
LED-0000127,Andres,Alvarez,andres.alvarez2591@synthetic.dev,referral,qualified,88,2025-04-23 01:46:54
LED-0000128,Vicente,Rivera,vicente.rivera6276@demo.io,ads,new,35,2022-08-22 11:29:38
LED-0000129,Antonia,Rivera,antonia.rivera4607@demo.io,web,qualified,39,2025-08-30 10:17:16
LED-0000130,Benjamin,Gonzalez,benjamin.gonzalez1905@lake.local,referral,contacted,64,2025-08-11 12:27:18
LED-0000131,Paula,Romero,paula.romero5860@lake.local,cold_call,new,41,2025-10-09 02:15:57
LED-0000132,Paula,Morales,paula.morales4797@synthetic.dev,event,contacted,84,2024-12-05 13:38:24
LED-0000133,Ignacio,Pino,ignacio.pino1580@demo.io,web,qualified,23,2024-12-07 12:48:58
LED-0000134,Emilia,Rojas,emilia.rojas2466@mail.test,web,contacted,85,2024-01-10 00:47:31
LED-0000135,Vicente,Torres,vicente.torres9722@demo.io,web,contacted,53,2022-09-02 12:39:24
LED-0000136,Florencia,Sandoval,florencia.sandoval3787@example.com,referral,qualified,54,2022-06-02 23:48:10
LED-0000137,Maria,Sandoval,maria.sandoval5422@demo.io,referral,new,26,2023-04-03 12:10:31
LED-0000138,Matias,Bravo,matias.bravo753@lake.local,cold_call,lost,99,2024-06-26 15:39:12
LED-0000139,Constanza,Sepulveda,constanza.sepulveda6905@synthetic.dev,web,lost,18,2023-09-09 15:33:32
LED-0000140,Juan,Lopez,juan.lopez7706@lake.local,ads,qualified,35,2022-05-28 08:22:34
LED-0000141,Maximiliano,Vera,maximiliano.vera1083@synthetic.dev,web,qualified,58,2024-07-08 06:49:44
LED-0000142,Florencia,Diaz,florencia.diaz4842@synthetic.dev,referral,new,95,2022-03-01 18:45:42
LED-0000143,Pablo,Alvarez,pablo.alvarez1494@example.com,web,qualified,35,2025-09-13 16:48:59
LED-0000144,Diego,Hernandez,diego.hernandez56@synthetic.dev,web,converted,26,2022-12-18 17:51:23
LED-0000145,Magdalena,Rivera,magdalena.rivera4742@demo.io,ads,qualified,63,2025-01-30 14:28:52
LED-0000146,Juan,Munoz,juan.munoz5834@example.com,web,lost,64,2024-06-22 21:08:33
LED-0000147,Jose,Vasquez,jose.vasquez5163@lake.local,web,qualified,15,2022-02-17 14:19:07
LED-0000148,Emilia,Gomez,emilia.gomez7606@synthetic.dev,web,contacted,86,2025-06-02 23:04:08
LED-0000149,Catalina,Vasquez,catalina.vasquez740@mail.test,event,new,17,2022-02-07 05:42:05
LED-0000150,Carmen,Silva,carmen.silva3638@example.com,web,new,26,2023-11-17 03:47:54
LED-0000151,Martina,Contreras,martina.contreras8433@mail.test,ads,lost,9,2023-08-06 15:40:24
LED-0000152,Maximiliano,Carrasco,maximiliano.carrasco1013@mail.test,web,qualified,68,2022-01-25 16:25:01
LED-0000153,Felipe,Perez,felipe.perez1581@synthetic.dev,web,new,97,2024-12-30 00:17:01
LED-0000154,Magdalena,Valenzuela,magdalena.valenzuela6516@lake.local,web,contacted,88,2023-07-05 21:31:15
LED-0000155,Pedro,Castillo,pedro.castillo5479@synthetic.dev,web,contacted,72,2022-02-19 06:26:30
LED-0000156,Pablo,Vasquez,pablo.vasquez5153@lake.local,web,new,88,2023-05-05 06:49:14
LED-0000157,Benjamin,Gomez,benjamin.gomez343@demo.io,event,qualified,6,2022-05-16 18:31:39
LED-0000158,Antonia,Soto,antonia.soto348@demo.io,web,lost,71,2022-10-02 20:14:15
LED-0000159,Ignacio,Cortes,ignacio.cortes4080@synthetic.dev,ads,new,80,2023-09-16 13:45:29
LED-0000160,Eduardo,Gomez,eduardo.gomez78@lake.local,event,converted,10,2023-10-05 10:46:29
LED-0000161,Paula,Aravena,paula.aravena6760@synthetic.dev,referral,converted,69,2024-04-08 09:04:30
LED-0000162,Sebastian,Gonzalez,sebastian.gonzalez722@demo.io,web,new,12,2023-10-09 15:08:54
LED-0000163,Ana,Flores,ana.flores3825@lake.local,referral,lost,46,2024-04-30 00:23:32
LED-0000164,Carlos,Torres,carlos.torres5723@demo.io,web,new,48,2022-11-18 12:41:18
LED-0000165,Tomas,Fuentes,tomas.fuentes4656@demo.io,web,lost,29,2023-05-24 01:38:58
LED-0000166,Lucia,Carvajal,lucia.carvajal2432@mail.test,referral,new,97,2024-02-29 00:09:07
LED-0000167,Manuel,Fuentes,manuel.fuentes8617@mail.test,web,new,51,2025-04-07 14:03:16
LED-0000168,Emilia,Araya,emilia.araya6483@mail.test,ads,new,29,2022-12-25 15:04:57
LED-0000169,Rodrigo,Diaz,rodrigo.diaz2915@mail.test,web,lost,55,2023-08-05 08:10:58
LED-0000170,Renata,Henriquez,renata.henriquez3376@demo.io,ads,new,58,2022-07-07 15:19:42
LED-0000171,Trinidad,Reyes,trinidad.reyes1706@demo.io,web,contacted,72,2022-12-16 00:08:46
LED-0000172,Trinidad,Rivera,trinidad.rivera8559@demo.io,referral,converted,58,2023-10-29 23:54:43
LED-0000173,Paula,Flores,paula.flores9925@mail.test,web,new,86,2025-10-12 00:49:19
LED-0000174,Manuel,Morales,manuel.morales662@lake.local,referral,lost,60,2025-10-03 04:47:32
LED-0000175,Fernanda,Silva,fernanda.silva3652@mail.test,web,lost,70,2025-12-28 12:37:06
LED-0000176,Carmen,Arancibia,carmen.arancibia2211@demo.io,event,lost,49,2025-02-08 20:07:20
LED-0000177,Isabel,Pereira,isabel.pereira1523@example.com,ads,new,65,2023-01-25 22:20:19
LED-0000178,Daniel,Gomez,daniel.gomez1321@demo.io,web,contacted,96,2023-05-09 10:46:39
LED-0000179,Sofia,Perez,sofia.perez2955@lake.local,web,new,59,2024-08-22 23:36:06
LED-0000180,Romina,Castro,romina.castro1587@example.com,web,lost,68,2022-07-21 00:16:00
LED-0000181,Isabel,Hernandez,isabel.hernandez7806@demo.io,ads,lost,32,2024-11-28 09:28:17
LED-0000182,Rodrigo,Castro,rodrigo.castro3319@demo.io,web,contacted,68,2025-01-02 14:32:31
LED-0000183,Constanza,Gonzalez,constanza.gonzalez7950@synthetic.dev,web,qualified,46,2023-01-23 23:32:30
LED-0000184,Fernanda,Gomez,fernanda.gomez4127@synthetic.dev,referral,lost,100,2024-02-16 02:42:58
LED-0000185,Felipe,Diaz,felipe.diaz3808@synthetic.dev,web,contacted,14,2023-07-15 02:56:21
LED-0000186,Constanza,Gomez,constanza.gomez4448@demo.io,event,lost,76,2025-01-30 23:22:29
LED-0000187,Magdalena,Castillo,magdalena.castillo2570@synthetic.dev,web,new,56,2023-07-29 14:19:46
LED-0000188,Constanza,Gomez,constanza.gomez9783@demo.io,web,contacted,40,2023-07-09 13:59:03
LED-0000189,Catalina,Pizarro,catalina.pizarro8021@lake.local,ads,lost,64,2023-09-16 01:51:13
LED-0000190,Josefa,Sepulveda,josefa.sepulveda1992@lake.local,web,contacted,35,2024-10-02 04:18:22
LED-0000191,Javier,Sepulveda,javier.sepulveda1267@example.com,event,qualified,71,2024-07-11 05:54:14
LED-0000192,Josefa,Vasquez,josefa.vasquez1405@demo.io,web,lost,31,2023-06-06 12:20:47
LED-0000193,Emilia,Cortes,emilia.cortes5457@lake.local,referral,lost,90,2023-01-27 07:23:39
LED-0000194,Isabel,Vargas,isabel.vargas5785@example.com,ads,contacted,12,2022-01-24 11:25:45
LED-0000195,Pablo,Saavedra,pablo.saavedra4157@lake.local,referral,qualified,11,2022-11-04 21:42:29
LED-0000196,Emilia,Vera,emilia.vera36@lake.local,web,qualified,89,2023-07-15 22:54:02
LED-0000197,Catalina,Alvarez,catalina.alvarez3292@mail.test,cold_call,contacted,0,2024-12-11 15:09:04
LED-0000198,Felipe,Araya,felipe.araya5609@example.com,web,contacted,70,2023-11-25 09:57:06
LED-0000199,Amanda,Aravena,amanda.aravena2499@mail.test,ads,contacted,52,2025-01-05 22:27:39
LED-0000200,Macarena,Vasquez,macarena.vasquez3645@mail.test,web,contacted,100,2023-11-08 00:42:01
LED-0000201,Carmen,Rojas,carmen.rojas9237@example.com,web,qualified,93,2024-10-02 03:49:53
LED-0000202,Carlos,Diaz,carlos.diaz4371@mail.test,referral,new,50,2023-07-27 13:03:38
LED-0000203,Antonia,Henriquez,antonia.henriquez4066@lake.local,web,converted,46,2025-05-19 10:09:49
LED-0000204,Trinidad,Riquelme,trinidad.riquelme9490@lake.local,referral,lost,30,2023-07-21 05:54:30
LED-0000205,Eduardo,Cortes,eduardo.cortes9966@lake.local,web,contacted,41,2025-04-20 18:08:13
LED-0000206,Vicente,Saavedra,vicente.saavedra7020@demo.io,web,lost,99,2024-01-07 17:38:50
LED-0000207,Vicente,Sandoval,vicente.sandoval5159@synthetic.dev,web,lost,3,2022-04-19 01:13:17
LED-0000208,Manuel,Pereira,manuel.pereira127@demo.io,ads,qualified,69,2024-07-30 16:52:44
LED-0000209,Gabriel,Hernandez,gabriel.hernandez9659@synthetic.dev,web,qualified,83,2023-07-20 19:46:26
LED-0000210,Amanda,Pizarro,amanda.pizarro9060@synthetic.dev,event,qualified,60,2024-12-27 21:10:32
LED-0000211,Agustina,Lopez,agustina.lopez2159@synthetic.dev,referral,qualified,75,2023-03-28 17:53:17
LED-0000212,Daniela,Riquelme,daniela.riquelme8242@lake.local,web,contacted,52,2023-12-06 05:38:45
LED-0000213,Constanza,Rojas,constanza.rojas9800@synthetic.dev,web,lost,15,2023-06-17 17:31:03
LED-0000214,Manuel,Torres,manuel.torres8069@lake.local,ads,new,27,2022-03-31 06:34:22
LED-0000215,Magdalena,Aravena,magdalena.aravena7127@example.com,ads,contacted,70,2022-01-27 21:31:49
LED-0000216,Cristobal,Sandoval,cristobal.sandoval9595@example.com,ads,converted,78,2024-03-09 19:34:03
LED-0000217,Antonia,Aravena,antonia.aravena9577@synthetic.dev,referral,qualified,81,2022-08-10 11:25:34
LED-0000218,Antonia,Pino,antonia.pino376@lake.local,web,qualified,43,2025-11-06 07:45:07
LED-0000219,Florencia,Riquelme,florencia.riquelme212@mail.test,web,lost,3,2025-05-13 08:08:00
LED-0000220,Constanza,Contreras,constanza.contreras780@demo.io,ads,lost,43,2023-04-18 20:52:30
LED-0000221,Javier,Tapia,javier.tapia1683@lake.local,referral,qualified,50,2023-01-18 16:52:36
LED-0000222,Eduardo,Martinez,eduardo.martinez2701@mail.test,web,new,24,2024-08-06 11:33:22
LED-0000223,Romina,Gutierrez,romina.gutierrez3640@lake.local,event,lost,26,2025-10-01 07:24:45
LED-0000224,Javier,Silva,javier.silva9714@example.com,web,lost,84,2023-07-28 11:16:11
LED-0000225,Sebastian,Salazar,sebastian.salazar5923@demo.io,ads,qualified,82,2025-02-13 10:03:58
LED-0000226,Lucia,Pereira,lucia.pereira2491@lake.local,referral,converted,37,2022-03-28 04:56:45
LED-0000227,Rodrigo,Munoz,rodrigo.munoz8912@lake.local,referral,lost,7,2023-02-16 08:32:04
LED-0000228,Alejandro,Gutierrez,alejandro.gutierrez4918@demo.io,cold_call,new,90,2022-05-04 21:44:54
LED-0000229,Daniel,Fuentes,daniel.fuentes9603@synthetic.dev,referral,lost,65,2024-08-04 01:22:37
LED-0000230,Vicente,Romero,vicente.romero3230@lake.local,web,lost,42,2022-05-29 13:09:21
LED-0000231,Paula,Contreras,paula.contreras8537@demo.io,event,new,79,2025-07-07 20:11:15
LED-0000232,Isabel,Cortes,isabel.cortes8619@lake.local,referral,contacted,60,2023-06-24 06:26:32
LED-0000233,Romina,Aravena,romina.aravena1988@demo.io,web,contacted,37,2023-12-14 06:52:15
LED-0000234,Fernanda,Rojas,fernanda.rojas8146@mail.test,web,new,80,2022-12-24 16:36:02
LED-0000235,Daniela,Fuentes,daniela.fuentes5691@demo.io,ads,contacted,16,2022-06-23 23:52:21
LED-0000236,Pablo,Bravo,pablo.bravo2928@synthetic.dev,referral,new,73,2023-12-06 21:00:17
LED-0000237,Catalina,Carrasco,catalina.carrasco6055@lake.local,ads,lost,69,2025-08-03 06:20:02
LED-0000238,Constanza,Espinoza,constanza.espinoza1352@mail.test,web,new,55,2024-01-09 18:22:35
LED-0000239,Rodrigo,Martinez,rodrigo.martinez4957@lake.local,ads,contacted,36,2023-06-20 16:15:57
LED-0000240,Antonia,Reyes,antonia.reyes401@mail.test,referral,lost,53,2024-06-22 21:56:12
LED-0000241,Constanza,Sandoval,constanza.sandoval1055@mail.test,cold_call,contacted,44,2025-12-25 07:58:13
LED-0000242,Fernanda,Castro,fernanda.castro8839@lake.local,cold_call,contacted,69,2023-06-18 03:04:06
LED-0000243,Matias,Romero,matias.romero3932@lake.local,referral,qualified,51,2022-03-13 01:42:49
LED-0000244,Martina,Pino,martina.pino1910@synthetic.dev,referral,converted,30,2023-05-09 07:13:46
LED-0000245,Trinidad,Carrasco,trinidad.carrasco5739@demo.io,referral,converted,24,2023-07-09 00:18:10
LED-0000246,Rodrigo,Torres,rodrigo.torres7287@demo.io,referral,qualified,25,2024-03-23 06:50:31
LED-0000247,Valentina,Salazar,valentina.salazar1407@synthetic.dev,web,contacted,70,2023-01-02 16:33:28
LED-0000248,Cristobal,Valenzuela,cristobal.valenzuela6768@lake.local,web,new,37,2022-11-12 19:08:26
LED-0000249,Maria,Rodriguez,maria.rodriguez6283@example.com,event,new,77,2025-11-05 13:53:30
LED-0000250,Ana,Carvajal,ana.carvajal5130@synthetic.dev,cold_call,qualified,11,2024-08-12 05:44:59
LED-0000251,Josefa,Pereira,josefa.pereira8226@mail.test,web,contacted,78,2023-02-14 08:09:28
LED-0000252,Benjamin,Perez,benjamin.perez8716@example.com,cold_call,new,72,2024-10-07 08:26:52
LED-0000253,Valentina,Aravena,valentina.aravena6304@example.com,event,new,81,2024-10-23 15:05:38
LED-0000254,Emilia,Valenzuela,emilia.valenzuela9219@lake.local,web,contacted,74,2024-04-02 04:56:28
LED-0000255,Magdalena,Espinoza,magdalena.espinoza9293@synthetic.dev,web,new,51,2023-04-05 10:01:59
LED-0000256,Emilia,Soto,emilia.soto7356@synthetic.dev,web,lost,8,2025-08-04 20:35:30
LED-0000257,Luis,Pizarro,luis.pizarro3205@synthetic.dev,web,new,58,2025-03-06 13:33:05
LED-0000258,Maximiliano,Torres,maximiliano.torres1034@demo.io,web,lost,91,2025-10-28 20:27:33
